,Name,Medals
611,"Michael ""Mike"" Ryan",1
612,Markus Ryffel,1
613,"James Ronald ""Jim"" Ryun",1
614,Nijol Sabait (-Razien),1
615,Jochen Sachse,1
616,Ahmed Salah Houssein,1
617,"Tetiana Volodymyrivna Samolenko-Dorovskykh (Khamitova-, -Apaicheva)",2
618,"Theresa Ione ""Tessa"" Sanderson (-White)",1
619,Viktor Saneyev,4
620,Julius Sang,2
621,Daniel Ren Claude Sangouma,1
622,"Debora Elaine ""Debra"" Sapenter (-Speight, -Christopher)",1
623,Vitaly Anatolyevich Savin,1
624,Frank Schaffer,2
625,Johanna Schaller-Klier,2
626,Christian Schenk,1
627,Claus Schiprowski,1
628,Evelin Schlaak-Jahl (-Herberg),2
629,Harald Schmid,2
630,"William David ""Bill"" Schmidt",1
631,"Kathryn Joan ""Kate"" Schmidt",2
632,Wolfgang Schmidt,1
633,"Ilona Schoknecht-Slupianek (-Briesenick, -Longo)",1
634,"Robert Keyser ""Bob"" Schul",1
635,Jrgen Schult,1
636,Heike Schulte-Mattler (Schmidt-),1
637,"Robert Lloyd ""Bob"" Seagren",2
638,Helga Seidler (Fischer-),1
639,"Anthony ""Tony"" Sharpe",1
640,Tatyana Sergeyevna Shchelkanova,1
641,John Sherwood,1
642,"Michael Lyle ""Mike"" Shine",1
643,Frank Charles Shorter,2
644,Nikolina Pavlova Shtereva,1
645,Nikolay Aleksandrovich Sidorov,1
646,"Gloria Siebert (Kovarik-, Uibel-)",1
647,Yuriy Heorhiyovych Siedykh,3
648,Siegrun Siegl (Thon-),1
649,Hannu Juhani Siitonen,1
650,Ileana Silai (Gergely-),1
651,Juris Silovs,2
652,L. Jay Silvester,1
653,Sara Simeoni (-Azzaro),3
654,Janet Mary Simpson (-Clerc),1
655,Jan Niklas Patrik Sjberg,2
656,Tetiana Viktorivna Skachko (Pakhovska-),1
657,Edwin Joseph Skinner,1
658,Tadeusz lusarski,2
659,Wendy Sly (Smith-),1
660,Mykola Yakovych Smaha,1
661,"Kathryn Jane ""Kathy"" Smallwood-Cook",3
662,Calvin Smith,2
663,"Ronald Ray ""Ronnie Ray"" Smith",1
664,Tommie C. Smith,1
665,"Willie James Smith, III",1
666,Peter George Snell,2
667,Nataliya Dmitriyevna Sokolova (Kulichkova-),1
668,Veniamin Vasilyevich Soldatenko,1
669,"Charles ""Charlie"" Spedding",1
670,Aleksey Sergeyevich Spiridonov,1
671,"Maria Geertruida ""Ria"" Stalman",1
672,Anioara Stanciu-Cumir,1
673,"Richard Vaughn ""Dick"" Stebbins",1
674,Renate Stecher (Meiner-),6
675,"David Lee ""Dave"" Steen",1
676,Ian Stewart,1
677,"Raymond Douglas ""Ray"" Stewart",1
678,Vasilka Rafailova Stoeva (Malusheva-),1
679,Christiane Stoll-Wartenberg,1
680,Dwight Edwin Stones,2
681,Jrgen Straub,1
682,Shirley Elaine Strong,1
683,Ellen Strophal-Streidt (-Wendland-),2
684,Brbel Struppert (Schrickel-),1
685,Eva uranov (Kucmanov-),1
686,Christina Sussiek (-Echte),1
687,Liese Sykora-Prokop,1
688,Olga Pavlovna Syrovatskaya-Mineyeva,2
689,Irena Szewiska-Kirszenstein,7
690,Jzef Szmidt (-Schmidt),1
691,Florena acu-Crciunescu (Ionescu-),1
692,"Tatyana Andreyevna Talysheva (-Volkova, -Tregub)",1
693,Jri Tamm,2
694,Jri Tarmak,1
695,Robert James Taylor,2
696,Angella Marie Taylor-Issajenko,1
697,Nabiba Naftali Temu,2
698,Igor Aramovich Ter-Ovanesyan,1
699,Klaus Thiele,1
700,Alexander Thieme,1
